                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0135,                  2.826,                 1.4175,                0.00459,                      1,                0.60954,                 0.4398,                0.79776,                 3.3249,                 1.4064,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.0199,                 2.3518,                 1.4087,                0.00469,                      1,                0.62595,                0.40225,                0.85549,                 3.2168,                 1.4187,             0.00021456,             0.00021456,             0.00021456
                      3,                 1.0337,                 1.8699,                 1.4262,                      1,                0.26006,                0.71806,                0.45151,                 1.0561,                 3.0152,                 1.5849,              0.0003268,              0.0003268,              0.0003268
                      4,                 1.0323,                 1.5969,                 1.3616,                0.92248,                0.53583,                0.84604,                0.53495,                 1.0665,                 2.6319,                 1.5923,             0.00043672,             0.00043672,             0.00043672
                      5,                 1.0297,                 1.5802,                 1.3749,                0.83588,                0.67638,                0.75933,                0.49513,                 1.2981,                 2.6092,                 1.8791,             0.00054434,             0.00054434,             0.00054434
                      6,                 1.0948,                 1.5136,                 1.4444,                0.66061,                0.65461,                0.70525,                 0.4125,                  1.477,                 2.5062,                 2.0713,             0.00064964,             0.00064964,             0.00064964
                      7,                 1.1023,                 1.5678,                 1.4275,                 0.5947,                0.60417,                0.68278,                0.35085,                 1.5085,                 2.6016,                  2.068,             0.00075263,             0.00075263,             0.00075263
                      8,                 1.0086,                 1.3826,                 1.3242,                0.69843,                0.62437,                0.65919,                0.35329,                 1.7354,                  3.033,                 2.2868,             0.00085331,             0.00085331,             0.00085331
                      9,                 1.0155,                 1.3889,                 1.3701,                0.49691,                0.70833,                0.58408,                0.36674,                 1.3768,                   2.96,                 1.9718,             0.00095168,             0.00095168,             0.00095168
                     10,                 1.0516,                 1.3493,                 1.3851,                0.28031,                0.52866,                0.34474,                0.17786,                   1.66,                 3.0816,                 2.1466,              0.0010477,              0.0010477,              0.0010477
                     11,                   1.11,                 1.4229,                 1.3667,                0.66742,                0.45686,                 0.4873,                 0.1988,                 1.8964,                 2.9201,                  2.415,              0.0011415,              0.0011415,              0.0011415
                     12,                 1.1716,                 1.5361,                 1.4569,                0.69818,                0.78716,                0.81522,                0.50822,                 1.3259,                 2.0325,                 1.9181,              0.0012329,              0.0012329,              0.0012329
                     13,                 1.0378,                  1.442,                 1.4159,                0.56117,                0.66158,                0.61403,                0.36271,                 1.3073,                  2.398,                 1.9634,              0.0013221,              0.0013221,              0.0013221
                     14,                 1.0871,                 1.4722,                 1.4412,                0.54057,                0.68105,                0.68317,                0.39652,                 1.1835,                 2.5326,                 1.7997,              0.0014089,              0.0014089,              0.0014089
                     15,                 1.0671,                 1.4287,                 1.4005,                0.81063,                0.87454,                0.82822,                0.47462,                 1.3499,                 2.2702,                 1.9932,               0.001436,               0.001436,               0.001436
                     16,                 1.0431,                 1.3014,                 1.3699,                0.72984,                0.69937,                0.72922,                0.37391,                 1.6192,                 2.5656,                 2.2304,               0.001436,               0.001436,               0.001436
                     17,                 1.0798,                 1.3498,                 1.4014,                0.82832,                 0.6005,                0.70879,                0.38294,                 1.6456,                 2.3359,                 2.3028,              0.0014195,              0.0014195,              0.0014195
                     18,                  1.068,                 1.3062,                  1.415,                0.65311,                0.69962,                0.70817,                0.40067,                 1.7275,                 2.4367,                 2.5956,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.1333,                  1.318,                 1.4518,                0.44796,                0.58369,                0.55973,                 0.3011,                 1.4007,                 3.0522,                 2.0609,              0.0013864,              0.0013864,              0.0013864
